Date,Open,High,Low,Close,Volume
2020-10-14,11889.074,11939.918,11714.355,11768.73,3027320303.0
2020-10-13,11901.758,11946.984,11821.828,11863.9,3233817682.0
2020-10-12,11732.324,11965.539,11704.133,11876.26,3492455135.0
2020-10-09,11487.602,11581.233,11476.656,11579.94,3201252317.0
2020-10-08,11443.354,11448.225,11384.332,11420.98,3214154601.0
2020-10-07,11271.68,11380.559,11258.348,11364.6,3522926746.0
2020-10-06,11314.531,11392.414,11124.445,11154.6,3938387756.0
2020-10-05,11169.105,11335.211,11162.523,11332.49,3275052100.0
2020-10-02,11082.526,11244.87,11033.692,11075.02,3217046731.0
2020-10-01,11291.992,11344.131,11240.531,11326.51,3539333476.0
2020-09-30,11092.898,11277.965,11092.898,11167.51,3802294440.0
2020-09-29,11109.0,11153.234,11065.629,11085.25,3067835620.0
2020-09-28,11084.383,11120.797,11019.137,11117.53,3234485266.0
2020-09-25,10680.461,10939.547,10639.976,10913.56,3384321728.0
2020-09-24,10551.02,10799.553,10520.222,10672.27,3602460156.0
2020-09-23,10950.824,10962.03,10612.91,10632.99,3616142712.0
2020-09-22,10873.297,10979.648,10737.516,10963.64,3159083180.0
2020-09-21,10610.141,10782.738,10519.492,10778.8,3459983339.0
2020-09-18,10973.447,10977.676,10639.95,10793.28,5217782638.0
2020-09-17,10796.046,10974.454,10783.811,10910.28,3279778118.0
2020-09-16,11222.082,11245.414,11046.43,11050.47,3310057893.0
2020-09-15,11193.957,11244.457,11127.977,11190.32,3440703818.0
2020-09-14,11010.145,11118.285,10982.258,11056.65,3421973922.0
2020-09-11,11010.065,11033.045,10728.032,10853.54,3184771438.0
2020-09-10,11235.528,11299.526,10875.02,10919.59,3402191142.0
2020-09-09,11064.766,11217.691,10970.445,11141.56,3164138469.0
2020-09-08,10900.695,11131.5,10837.2,10847.69,3425488935.0
2020-09-04,11396.244,11531.185,10875.872,11313.13,3660002489.0
2020-09-03,11861.898,11894.403,11361.355,11458.1,3894318668.0
2020-09-02,12047.266,12074.066,11836.18,12056.44,3588617506.0
2020-09-01,11850.965,11945.719,11794.781,11939.67,3181911386.0
2020-08-31,11718.813,11829.844,11697.414,11775.46,3272695194.0
2020-08-28,11689.281,11708.768,11634.769,11695.63,2753365839.0
2020-08-27,11688.195,11730.02,11551.01,11625.34,3160625795.0
2020-08-26,11516.617,11672.051,11507.457,11665.06,3120816547.0
2020-08-25,11370.227,11468.258,11343.039,11466.47,3207095242.0
2020-08-24,11449.254,11462.051,11297.535,11379.72,3628009492.0
2020-08-21,11258.444,11326.215,11245.444,11311.8,3661566419.0
2020-08-20,11096.398,11283.62,11090.03,11264.95,3985622429.0
2020-08-19,11214.801,11257.42,11132.1,11146.46,3219259187.0
2020-08-18,11170.75,11230.617,11103.836,11210.84,2990075492.0
2020-08-17,11083.246,11144.527,11080.301,11129.73,2934148628.0
2020-08-14,11042.238,11058.438,10972.062,11019.3,3186855526.0
2020-08-13,11026.862,11124.85,11007.5,11042.5,3151120928.0
2020-08-12,10878.117,11036.72,10877.16,11012.24,3394171867.0
2020-08-11,10942.656,10989.422,10762.711,10782.82,3939006881.0
2020-08-10,11033.727,11040.246,10849.457,10968.36,3727048963.0
2020-08-07,11072.529,11126.037,10920.367,11010.98,3887130580.0
2020-08-06,10989.976,11121.194,10963.411,11108.07,3695392789.0
2020-08-05,10967.874,11002.106,10943.717,10998.4,3850757303.0
2020-08-04,10897.891,10941.906,10852.895,10941.17,3740307735.0
2020-08-03,10848.637,10927.563,10831.152,10902.8,3872645780.0
2020-07-31,10741.473,10747.805,10557.699,10745.27,4007633530.0
2020-07-30,10450.122,10609.587,10412.095,10587.81,3768667136.0
2020-07-29,10474.703,10567.91,10464.0,10542.94,3749402726.0
2020-07-28,10509.195,10523.641,10397.875,10402.09,3630166407.0
2020-07-27,10421.703,10546.438,10399.863,10536.27,3943464340.0
2020-07-24,10294.406,10418.748,10217.313,10363.18,3790576894.0
2020-07-23,10689.503,10728.119,10407.874,10461.42,4092997258.0
2020-07-22,10687.582,10745.32,10627.449,10706.13,3803324665.0
2020-07-21,10837.879,10839.93,10650.465,10680.36,4996449915.0
2020-07-20,10526.02,10783.805,10488.039,10767.09,3997800437.0
